,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,44055253,01/23/2009,4.0,"i don't know why people who've read the curious incident of the dog in the night-time would find this second novel a let-down. it seems to me equally tender, sweet, and heartbreaking. it's also hilariously funny. haddon does heartbreaking and funny with such grace, simplicity, and verbal virtuosity, it's wonderful. i admire this writer greatly. what i admire most about him is that he shows us the behavior of ""crazy"" people who do ""crazy"" things from the inside, and from the inside these crazy things make total sense. george's shenanigans are as meaningful and entirely understandable to us as christopher's shenanigans, and, just like in the first novel, we are quite surprised that people around these two should not be more compassionate and understanding, because both george and christopher seem lost in an earnest, brave, broken, and entirely adorable way.there's a lot here about class, and i imagine other non-english people might find it as hard to make sense of as i did. i mean, ray seems absolutely perfect from all possible points of view, as does tony, but the stuff of class gets in the way tremendously, and one is left quite perplexed until one remembers what one has learned about england from the movies, and it makes a little more sense.the little kid jacob is picture perfect. haddon has a thing with little kids (of all ages).another thing that haddon does really really well is show how people like george and christopher, i.e. people who either are different or become different at some point in their lives for some very painful reason, manage to break down barriers and distances in others that would otherwise be as immutable and untouchable as the rotation of the planets. and then everyone feels better. except there is hell to pay, for everyone, and this is the really heartbreaking part, the amount of pain haddon packs in his books. i was discussing this just now with someone and realized that the highest common denominator between dog and bother is terror. and i don't do terror very well. but this book eases you into terror gently, and by the time you realize that the book is killing you you are too caught up to stop reading it. anyway, i really liked this book. it doesn't dispel the terror, or maybe it doesn't do so entirely, but it might make you feel like you are not the only one to live in a constant state of terror, and that's a little soothing unto itself. ",56,-0.8708,0.144,0.712,0.144,0.6394063180827887,POSITIVE,0.9995
1,26419749,07/06/2008,1.0,"As we approach the end of my first year of recorded and reviewed reading, I have read almost no bad books. The Fermata was bad, but the guy could write, he just decided to write something we all thought was fucking awful.This was a bad book.Oh how do I hate this book? Let me count the ways:1) Every word in this novel is written in conversational, lazy prose. ""Absolutely"" is used repeatedly for emphasis. ""Cue"" something or other. The kind of verbal junk we are all guilty of in verbal conversation, but letting it form the bulk of your novel is unforgivable. I felt like I was reading a second-year English essay. Honest to god, I'm not exaggerating. Junk prose. Never a hint of an interesting sentence structure.2) This device, used repeatedly, I'm guessing to give the novel some appearance of depth. Let's call it the Family Guy Device. ""The day was turning out badly. Almost as badly as that barbecue with David Morris and Bettie Constance in Salford last summer, thought George."" STOP RANDOMLY FUCKING DROPPING NAMES I'VE NEVER HEARD BEFORE AND WON'T HEAR AGAIN. There's enough one-dimensional characters to keep track of without my having to check off new names against the list every two chapters. I can't tell you how many times this was used in the course of 500 pages.3) 500 PAGES? To tell this story? Are you kidding me?4) The relentless assault of pop-culture references. Lethal Weapon, The 6th Sense, The Lord of the Rings, BBC Radio 4. Wedding music is ""that Bach Double Violin piece from the compilation CD Dad gave her from Christmas last year."" And it's not just the pop-culture bits (Oscar Wao was full of Lord of the Rings stuff), it's that they are brought up again and again and again, but not one character betrays any interest that dips below to most shallow and obvious cultural stables. It felt like examples of tastes were deliberately chosen so that no reader would ever miss a reference. These people, is seems, are the most banal people you have ever met.5) 500 FUCKING PAGES?Picture a wet Sunday afternoon, and you are spending it at a slightly run-down shopping centre in the outskirts of town. You check out the record store, but whoever's stocked their shelved has decided to focus on boy-bands and Nickelback and club-anthem compilations. The book-shop is full of ugly, glossy cookbooks and footballer biographies. You glance into the clothes shops but the mannequins all look like the men you feel most uncomfortable around in the pub at weekends. You go to the cafeteria to kill some time, and sit under bright fluorescent lighting at grey plastic tables and eat a bun seemingly made out of another kind of plastic. The tea is tepid and has an oily film on its surface. And it's not the afternoon you're experiencing in this place, it's the people around you, when you realise that even if you asked them, they wouldn't see what's wrong with this. They wouldn't understand your problem.This novel was a 500 page trek through everything that tires and disappoints me most about the modern world, and I'm sorry if that illuminates some fault in me and not the novel, but that's the way I feel.",53,-0.9403,0.114,0.79,0.096,0.5771866391184574,NEGATIVE,1.0
2,1534959878,02/02/2016,5.0,"Wow..............I just notice Mark Haddon has a new book coming out (short stories) ---""The Pier Falls""I entered the 'give-a-way' (a girl can hope) -- :)I LOVED this book sooooooooooooo much --I had a few copies at one time.... (gave copies away).For some reason --I like this 'MORE' than a few of my friends --but I was DYING LAUGHING ...(forgive me if I sound nasty) ....during the bedroom scenes....and then there was the daughter's wedding... (I just LOVED this book --and could read it again)...I adore the authors sense of humor.I thought it was hilarious --AND touching! I know everyone remembers ""The Curious Incident of the Dog in the Night""Every so often somebody asks me....'what is a good-charming-light -(but not slapstick) book to read? THIS would be THAT book.....(especially for old married farts with daughters like myself)",30,0.9837,0.0,0.799,0.201,0.537784090909091,POSITIVE,0.9976
3,380135004,07/30/2012,4.0,"Modest past review discovered to have been lost in an import from Shelfari:The survival of a modest man shown charmingly with much deadpan humor. George Hall thinks he has cancer, which shapes how he reacts to more mundane crises, such as an unfaithful wife, a son struggling with gayness, and a daughter about to marry poorly. He seems to gain a sense of sanity from learning first hand how crazy everyone else is. Our lovable hero just keeps having bad luck, but always rises to the surface. The internal dialog is part Walter Mitty, part Yossarian. ",23,0.5499,0.097,0.762,0.141,0.5977777777777777,NEGATIVE,0.5104
4,1414775763,10/12/2015,4.0,"This is a really good, absorbing drama about a family in crisis and in particular tells the story of George who, at the age of 57, suddenly faces the fact that he is not going to live forever upon the discovery of a lesion on his hip. Wife Jean is sleeping with an old work colleague of his. Daughter Katie is preparing her wedding to Ray, a man who is universally disliked by her family and to be honest, she is not sure whether she is marrying him for the right reasons. Finally, son Jamie is facing a dilemma – he wants to bring his partner Tony to the wedding, but he fears his family are not ready for that.There is a thread of black humour running through the book but I did feel it was more moving and emotional than funny as George’s depression first crept up and then engulfed him. It all felt so real, as if it was happening to somebody I knew and these sections in particular were beautifully written. The whole family, in fact, felt frighteningly real to me, and I found myself nodding my head so many times throughout the book at things they said.They are all in crisis in one way or another, and as each short and sharp chapter is told through alternate viewpoints, I really got a good understanding about what was going through everyone’s thoughts. They are all brutally honest with themselves but the sadness is that none of them speak to each other about the things that matter.It was a book that really grabbed me and held my attention during the build up to the wedding but there were one or two things I wasn’t too sure about. George is 57 and I am in my early 50s so I could really understand his sudden fear when he realised that he is not immortal, but he didn’t “feel” like someone in his fifties. I never saw him, or Jean, as contemporaries as mine as they felt as if they were from a different generation. I did feel the ending was a little “too” upbeat, the cloud over George’s head just seemed to blow away a little too easily in relation to the pain he suffered throughout the book. I couldn’t help thinking “oh if only depression could be solved that easily in real life”. On the whole though, this is a good entertaining read that delivers some very real home truths with very realistic characters that I thoroughly enjoyed. Yes, there are those bits that I wasn’t sure about, but they were far outweighed by the good.",20,0.7674,0.124,0.741,0.135,0.5493604108309992,POSITIVE,0.9998
5,78160736,11/17/2009,5.0,"A Spot of Bother is an alternating-POV story about going quietly mad and loudly sane, and love under all our layers of repression and confusion: There’s newly-retired dad George, politely failing to bury his increasing obsessive thoughts of mortality under a zest for home renovations. Mom Jean, already balancing familial duty and work and volunteering, is just trying to find more time for her passionate affair with a long-time acquaintance. Their outspoken grown-up daughter Katie intends to marry her boyfriend Ray despite her suspicion that he’s wrong for her— because he’s right for her son. And emotionally-distant son Jamie just can’t explain to his boyfriend why he’s not invited to the wedding. Haddon’s style is pretty sparse, but earnest. The characters’ dramas could easily become trite, but their awareness and wryness in the face of their situations instead lends an endearing realness. At times I almost felt a little cheated that the split narratives, by necessity, truncated the fuller version of each story. But even with the glimpses, I got a sense that each Hall lived in a world beyond just the necessary set pieces, full of friends and coworkers and exes—of complex relationships—a specificity that allowed me to be drawn into their struggles in spite of myself. The strongest parts of the novel are actually when the family members directly interact. We get to “see” the same events in their overlapping voices, which surprised me by highlighting the complexities of intention and communication (rather than falling into tedious exercise). If you’ve ever seen one of these comedies, it’s hardly a surprise that all these threads erupt into a madcap ending. I think some readers might find George’s central story kind of crass and shocking and inexplicable at times. I sort of wished Haddon was less enigmatic about it, especially being the subject that was probably the hardest to comprehend or relate to. But real life is not tied up so easily. And so when all the dust settled, I found myself left with some heartwarming end scenes and some open end scenes… but most of all, the overall sense of empathy for the ways people try to make sense out of the chaos.(Reread April 2012: Nothing to add of insight, except to note poor Mark Haddon, doomed to forever have his work as ""not as good as his first novel Curious Incident. Well those people are wrong. A Spot of Bothers's comedy of manners is just as accessible, and it shows more maturity regarding character development and less reliance on the so-called cute gimmicks he's been accused of propogating. I'm sure I've saved him from crying into buckets of money now, so this reread has gone to good cause.)",19,0.7826,0.112,0.765,0.123,0.6018029675638372,NEGATIVE,0.6809
6,13319593,01/23/2008,3.0,"I'm not really sure what to say about this one. I really can't generate strong feelings one way or another on its behalf. It wasn't bad but it wasn't good - and conversely, it wasn't good but it wasn't bad. It had likable moments and parts that I laughed at. And some of Haddon's descriptions were priceless (e.g., the ""chickeny scrotum"" bit). But then there was the rest of it. I kept feeling that if it was either good or bad, I would have relished finishing it so that I could relish talking about it.But it wasn't. And so I didn't. It was, I guess, the most mediocre book I've ever read. Everything works as a perfect counter-balance for everything else.The characters are almost uniformly unlikeable - as well as being flatly conceived. But then the tone of the book is largely humourous and brisk. Every event in the novel feels contrived and every dialogue scripted. But the things that are said are sometimes funny and the situations make it possible for more funny things to be said. And so on.In then end, if you ask me whether I liked the book, I'd simply have to respond with a shrug and one of those perplexed looks that doubles for I don't know.NOTE: far more interesting than the actual book is the author's account of the bloody illustration that ended up on newer additions of the book. Unfortunately, mine was a not-so-endearing cover. I think I probably would have enjoyed the book more had I been properly primed for it by the cover.",17,0.9846,0.077,0.749,0.174,0.6465569561157798,NEGATIVE,1.0
7,3334535954,06/23/2020,4.0,"Recently retired George Hall, a quiet family man, is thrown into a panic when he finds a large spot on his skin. Although his doctor assures him it's not serious, George is convinced it's cancer and he's going to die. Meanwhile, his daughter Katie announces that she is going to marry Ray, a man who might not be right for her. Katie's gay brother, Jamie, is on the outs with his boyfriend. Adding to the stress, George's wife has a smooth, handsome lover.This is a domestic comedy about a dysfunctional family trying to cope with wedding preparations for an ""on again, off again"" wedding. In real life, one would hope that George's mental health problems would be taken more seriously. Everyone seems caught up in their own problems and the impending wedding. There are lots of humorous situations with the family members eventually finding out what is important in life. ""A Spot of Bother"" was a fun read full of catastrophes and comedy. 3.5 stars rounded up.",15,-0.2894,0.127,0.741,0.132,0.5452380952380952,NEGATIVE,0.9864
8,200781049,08/21/2011,4.0,"This book made Curious Incident fans wail and gnash their teeth in 2006. Who knows how Haddon’s reputation fares today, following the lukewarm response to this breezy domestic drama? I get the impression children’s voices are more his forte, what with being a bestselling kids' author and all. In fact, some of the best lines in this book belong to the toddler Jacob and revolve around poo and ice cream. But this is hardly worth a literary excommunication. It is the sort of book only established authors can release, but it does satisfy as a “warm-hearted page-turner” (does anyone else feel sick?)George is the centre of the story, a retired bourgeois gent who becomes a hypochondriac, a depressive and—later on, when he watches his wife being ploughed by another man—a self-harming borderline psychotic. His descent into madness while his selfish little brood run around arguing and breaking up and making up forms the moral centre of the book, though Haddon works hard to make the selfish people loveable in the end, and almost succeeds. Katie is still about as pleasant as a wet haddock in the face, and the mother is Hyacinth Bouquet without the moral compass. The men are nicer. The women not so nice. Discuss.So there isn’t much in the way of style, originality or humour—this is David Nicholls territory, best left to David Nicholls—but it does provide an engaging and cosy alternative to being alive for a few hours, and that’s perhaps the best thing a book can offer.",15,0.9321,0.087,0.774,0.139,0.469551282051282,NEGATIVE,0.9788
9,12506283,01/14/2008,4.0,"A very entertaining and intelligent ""page-turner"", which is a rare combination of traits. As a story told from four well-written viewpoints, it succeeds in evoking an emotional connection with the characters. But I worry about too much modern fiction presenting the literary equivalent of short serial television episodes all jumbled together in something described as a novel. I suppose readers' attention spans are becoming shorter, but should fiction really cater to that fact? There is definitely a craft to revealing multiple characters' motivations without resorting to the division of a book into 144 chapters written from different perspectives. It made me feel like a choose-your-own-adventure reader when I flipped through dozens of pages to continue on with one character's story for more than just four paragraphs at a time. However, I have to say that the device certainly worked. I really couldn't put this book down, even while cooking. The characters felt three-dimensional (flawless in their depiction, in fact) and the plot was realistic yet unpredictable.Just one teensy complaint: all four narrators had too many reveries about family holidays to foreign countries. Obviously this was a ploy to show just how close-knit this clan really is, but some other flashback options would have been appreciated. ...Or maybe we are to believe that the only time this family really existed together was on vacation, which is quite possible.Just the right amount of convincing character arcs made this book worthy of an overused jacket-blurb adjective: heartwarming. ",14,0.9859,0.018,0.832,0.149,0.4819150025601638,NEGATIVE,0.9407
10,6089677,09/12/2007,2.0,"Having read  Curious Incident of the Dog in the Night-Time, I expected my sophomore foray into Haddon's style of novel-writing to be a bit of a departure. If you don't know already the book was written from the point-of-view of a boy with Asperger's Syndrome (a functional form of Autism) and delivered with a fair amount of empathy that warmed the reader to an otherwise antisocial and charmless character.However, I felt that even from an omniscient point-of-view, Haddon hardly piqued my personal interest in any of the central players in this book. It's written in a matter-of-fact style that hearkens back to that of Curious but fails to deliver a real story. The jacket hinted that the hero would be George, a retired father and cuckold with a nagging topical infirmity but my mind wandered so often that I found it far more interesting to read the book as though the protagonist was the tension between each of the family members centered around him. (Try this - it was actually more fascinating than trying to patiently wait for a real story). The bottom line is that the novel goes nowhere while switching from character to character where the writer may or may not be attempting to impress the reader with his gift for communing with unrelated elements of human discord. In other words, English people are boring. This may not be the case but the book makes a strong argument to the contrary.On the positive side, he does seamlessly transition between voices throughout the book with some alacrity and I do think he has a penchant for delivering a fitting description of what one's state of mind is in the most mundane of circumstances. I was also impressed by how well he wrote without using a cliché chain of simile after simile. Again, this is another symptom of my mind wandering from lack of interest but I am fond of writers who can deliver their craft without a notepad full of brilliant adjective phrases right next to the computer.In any case, I would still recommend taking a look at it if you read Curious and plan to keep tabs on Haddon's evolution from writing children's books. As for me, put on the spot, I may not bother.",13,0.9933,0.062,0.769,0.169,0.5090253181162272,NEGATIVE,0.9992
11,31098756,08/24/2008,5.0,"Hilarious!!!! What a wonderful story, that kept me laughing the whole time. Haddon does a wonderful job giving his characters life. It made me wonder what I'll be like when I retire will I be as crazy and eccentric as the main character.",13,0.9357,0.046,0.634,0.32,0.7333333333333333,POSITIVE,0.9973
12,10479548,12/15/2007,4.0,"First the quibbles: Haddon's a young guy. He has a young guy's perspective, which is to say, a limited perspective. His portrayals of the middle-aged are in places laughable. Mark, I've got to tell you: people over fifty don't think the world belongs to the young. They don't think they're obsolete. It's young people who think that about their elders. Youngsters are often (not always) better at the very latest technology, but that's their only advantage. Well, that, and the good health they take for granted. Also, Haddon writes here about people with no real problems, which is to say, the characters are well-off, not in physical want or peril, and advantaged in every way. Yet they suffer. And whine. At length. But that is what characters in novels do. At least Haddon has them whine interestingly and about problems that we absolutely relate to. After all, lots of readers are whiners, too.Callowness (and shallowness) aside, A Spot of Bother is great writing. Haddon explores deep and painful areas in a way that reads fast and easily, with just the right kind of humor in just the right places. It's as much a riveting page-turner as any thriller, and nearly as suspenseful. He really is an adept writer, able to expose human lunacy, wrong-headedness, love, and decency with the seeming ease of turning a shirt inside out. Highly recommended.bonus: It's British.",12,0.7203,0.137,0.704,0.159,0.5829942279942282,POSITIVE,0.9912
13,606413945,01/31/2022,2.0,"A Spot of Bother is a 2006 family dramedy by the author of the fabulously quirky bestseller, The Curious Case of the Dog in the Night-time. It’s been sitting on my to-read shelf for about ten years since picking it up at a book fair, but I’m on a mission to read more tree-books this year, so selected it because I thought it would be funny. Sadly, it was not - it’s actually hard to believe it’s the same writer. I was forewarned by the mostly negative reviews, but wanted to make up my own mind. I didn’t hate it, but after 500 pages about some fairly awful people and a very meh ending, I wouldn’t recommend it either.George Hall and his wife are distressed to learn that their prickly daughter Katie is getting married again, to a man they disapprove of for non-specific class-based reasons. Katie isn’t sure herself whether she loves Ray, but he is very good with her pre-schooler Jacob. Her brother Jamie is afraid of committing to his boyfriend Tony, but isn’t quite sure what he wants. Then George discovers a suspicious mole and that his wife is having an affair, and a mild mid-life crisis turns into a full-on nervous breakdown, but nothing can stop a runaway wedding…I wanted to like this, I really did. I gamely pushed on, through the disjointed writing, the endless random inconsequential character names that litter the narrative, serving only to confuse the reader, the awful selfish family of middle-class twats, the grotesque depictions of aged sex and the painful lack of any actual humour. I did like poor stoic Ray, and the gay love story was sort of sweet, and it did finally get interesting around the mid-point when George attempts to cure his problem, but then it got pretty boring again. I persisted, waiting for some kind of pay-off: I suppose you could call it a happy ending in that all the characters get what they deserve, but the reader does not. I am therefore downgrading my initial 3 star rating to 2.",10,-0.7972,0.168,0.679,0.153,0.6757622739018088,NEGATIVE,1.0
