,review_id,date,rating,text,num_likes,Vader_score,Vader_neg,Vader_neu,Vader_pos,TextBlob_sub,Flair_sent,Flair_conf
0,2107188810,09/11/2017,4.0,"""If I am fighting on behalf of anyone, I think it is for those who have died. Not for the living at home. For the dead, over here.""What a beautiful and moving story!Birdsong is a powerful novel, spanning generations and taking us through the horrors of World War 1. Split into mainly 3 sections we begin with Stephen - a young man visiting Amiens in France, staying with a wealthy man and his family, the wife of whom he falls into an illicit love affair with. ""I am driven by a greater force than I can resist. I believe that force has its own reason and it's own morality even if they may never be clear to me while I am alive.""Further down the line we follow Stephen as he is enlisted into the war against Germany. We see both the infantrymen and also the men who work underground, risking being buried alive in order to further their cause. Faulks' writing is truly outstanding, the fear and hopelessness felt by the men is made vivid and terrifyingly portrayed. ""He's frightened that it doesn't make sense, that there is no purpose. He's afraid that he has somehow strayed into the wrong life.""The final section is two generations later, Elizabeth is researching her family history, looking into her ancestors, in particular her grandfather, who left behind notebooks of his experiences. ""I saw the great void in your soul, and you saw mine.""If I could quote this entire book I would. It was powerfully affecting, emotional and profound. 4.5 stars. ""We will seal what we have seen in the silence of our hearts and no words will reach us.""""Which human being out of all those you have met would you choose to hold your hand, to hold close to you in the beginning of eternity?""",123,-0.826,0.129,0.761,0.11,0.6340277777777779,POSITIVE,1.0
1,469832438,12/04/2012,4.0,A very moving and haunting book. It captures the horrors of the first world war in such detail that it will stay with me for a very long time.,115,-0.8739,0.293,0.707,0.0,0.4133333333333333,POSITIVE,0.9997
2,3181244268,06/27/2020,4.0,"2020 review: A book in seven parts; the first being set in 1910 in France, where a wild affair between a young Stephen Wraysford and his host's wife(!) Isabelle, devastates the families involved, as well as setting the foundations of the book. It then alternates between the lengthy Wraysford 's First World War experiences and the very short sections of his granddaughter seeking to find out his war and post war story.Hey! I was just setting out the book composition, this is a review of sorts, don't ya know! Alongside the fictionalised first-hand descriptions of the harsh reality of trench warfare, there's also depictions of: - a war managed by privileged upper class numbskulls - the tremendous shock of man's inhumane mechanised warfare - a mainstream movie like manipulation of the reader to underline the little regard for life that war has, where key supporting characters' deaths are almost just footnotes, but a footnote with a sniper's bullet or machine gun fire.And it all works! I get it, war is bloody awful; but hey this is a thought provoking way of putting that message across. Like a great mainstream movie, this was perfectly pitched, and in the end all the stories match up, and there's a sense you've just been on a great journey.I was kind of torn, when I first finished this book, I was like... Hell yeah, bring on the Five Stars, but I have to accept that even though the granddaughter's chapters set in the late 1970s are important for the additional story they tell, I just feel that the book would have been better without them. This was also a book that took me nearly 5 months to read, because the intro in Amiens was a bit of a drag for me, young man lusting over hot wife, know what I mean? Overall still a must-read, and a wonderful piece of British fiction, so it's a 9 out of 12, Four Star read.",108,-0.5585,0.15,0.727,0.123,0.5918817204301077,POSITIVE,0.9917
3,301747896,03/27/2012,2.0,"Sebastian Faulks' Birdsong is a kind of Harlequin romance with a literary slant. All the elements for pulp romance are there: ""romantic"" hero: soldier, refined gentleman; unhappy married woman; ""romantic"" locale: French suburbs, countryside; numerous, gratuitous sex scenes (I remember, horrifically, an excess of pulsating ""members"" and curtains of ""flesh""). At the same time, Faulks strives to give it some literary taste, which I believe he largely fails to do. The time-jumping between pre-war, at-war, and present-day seems haphazard, and the present-day revelation of Elizabeth Benson has the dull patina of a celluloid ending (I think of present-day Rose in Titanic, the end of Saving Private Ryan, etc: the cinematic cheat of closing a tragedy by removing it from its era, neglecting the interceding lives of its characters: what I hate about epilogues). It is no surprise that Faulks was commissioned to ghost-write an installment of the James Bond series (Devil May Care). Faulks writes for the cinema, but mostly he writes to the base male fantasies and mock-Hemingway-an masculinity that appeals to contemporary male readers: sex, war, violence, camaraderie and friendship. His attempts at literary effects fail him, and damage the pulpy material beneath. HE is a plot-author with poor plot-pacing: his attempts to bridge past and present-day (a connection which fails to entertain or convince), repeatedly stunt the built up momentum of Stephen and Isabelle's romance, and later on: the gray-violence of the battlefield.I look at the top quotes for Birdsong and find dull pulp and platitudes:
I know. I was there. I saw the great void in your soul, and you saw mine.
Something one might find in a schoolboy's diary. The prose, which is often flabby at the seams, is filled with my short phrases with faked originality and stunted aesthetics: slipshod attempts are juxtaposing and reconciling the ugliness of war and the beauty of passion.
Something had been buried that was not yet dead.
The novel abounds in cliché: from trite aphoristic turns-of-phrase, to the overall story: very little strikes the reader as truly original or insightful. The Brideshead Revisited-inspired memories are stilted and unnatural, poorly executed. If one is to read this book, one should only read it at the surface, for a war-torn romance: diving in deeper will only reveal the shallowness beneath the surface: the smallness inside of a postured grandness.",99,-0.8783,0.14,0.741,0.118,0.4674418604651162,NEGATIVE,0.9963
4,134682062,12/11/2010,3.0,"I have quite mixed feelings about this book. While I found the sections on the war proper quite devastating and very well done, I also found the framing device of the pre-war romance and more present day life far less effective and also less well written. My feelings may also be affected to some extent by other World War I literature that I have been reading as part of the Centennial over the past few months.I found that the frame story, actually a dual frame, diminished the war story tremendously. In fact I wondered, prior to the war story beginning, whether I would want to complete reading the book.I've read so many excellent books with the WWI group that did not bother with that kind of tacked on romance, etc. It's simply not necessary. And Faulk certainly demonstrated the skill to write a full book without it. This made me wonder whether he may not have trusted his audience to come to the book. But then I see how many others give this book top ratings and realize that I am out of sync with the majority on this book. But I have no problem with that. I was simply quite surprised when I read the it as my expectations were much different!!",87,-0.652,0.126,0.754,0.12,0.4888180272108844,NEGATIVE,0.993
5,73780017,10/07/2009,5.0,"It's as if the author is writing from personal experience. The way that the characters and the atmosphere are built by Sebastian Faulks is just amazing! The reader is taken in to that atmosphere, and shares the feelings of the main character, Stephen. You cannot fail to be totally captivated.Anyone who has served for any significant period in the Armed Forces will instantly relate to the use of black humour to cover the awful reality and horror. Faulks also manages to reflect on how every aspect of life continues, perhaps in the background, as the war goes on. There is a strong and emotive love story. There is a very powerful understanding of the futility of war and its effects on everyone involved, regardless of national allegiance. One of the most poignant parts of the book, for me, is the description of the feelings of the sappers as they tunnel deep below the battlefield, knowing that their counterparts are experiencing the same hopes and fears, only feet away through the awful mud and darkness. Death is never more than a split second away.Note: It makes it even more personal to me as I was in the Royal Engineers (Sappers) during my military career. I'm happy to report, though, that I never had to get involved in the activity of sapping, or tunnelling. Having had the privilege of sitting with Somme veterans, listening to their vivid memories of the trenches and the contacts, and those friends who lost their lives, I can say, with great confidence, that the superb writing of Birdsong takes us as close to being there as is possible.A scene which, some may say, in the greater scheme of the whole book pales into insignificance but is still very well worth mentioning, is the extremely erotic, yet tastefully presented, first sexual encounter between Stephen and Isabelle, which occurs early on in the story. There are other encounters throughout the book, but I found this to be one of the most sexually arousing pieces of writing that I have ever read. It omits just the right amount of detail to allow the reader's imagination to run riot. Amazing!Every emotion is touched during the reading of this book.The title is evocative. I found several reasons to entitle the book this way, not least Stephen's declaration regarding his feelings about birds and the reasons behind those feelings. When you read the book, keep the title in your mind. Seeking the meaning adds an extra dimension to your reading.It is a shame that it is not possible to award six stars to any book that I review, for Birdsong would surely deserve such an award. This one definitely makes it into my lifetime favourite five.I would have no hesitation in recommending Birdsong to absolutely anyone, but most especially to any politician who is thinking about sending young people to their deaths in war.Footnote: I was surprised that The Magic Mountain by Thomas Mann featured in Sebastian Faulks's top one hundred books. It sits right at the opposite end of the gripping to boring spectrum of reading to this magnificent work: Birdsong is gripping. ",79,0.8735,0.079,0.817,0.104,0.600866402116402,POSITIVE,0.9996
6,873160095,03/05/2014,4.0,"There's a love affair, so passionate, but yet illicit and at first I thought that this is what was going to get to me in this novel. It did, but the most powerful, thought provoking thing about this book is what happened to the men in the trenches during WW I. The gruesome, gut wrenching realities for soldiers fighting this war are told in phrases so descriptive that you almost wish you hadn't read them - about the smell of blood, wounds and body parts, the claustrophobic, horrific conditions in the tunnels and ultimately what the men lose of themselves .There are friendships and brotherhoods that grow making for some moving and very sad scenes.The novel moves across years - 1910, the war years 1916 – 1918, 1978 and 1979. Stephen and Isabelle’s story came to life in the early parts of the novel, but I found it somewhat difficult to connect with Elizabeth's character as we meet her in 1978. I usually enjoy these past - present stories that link but other than being family, I just didn't feel a real emotional connection between the stories. Having said that, this novel is not one that I will soon forget. 4 stars and highly recommended but not for the faint of heart. ",59,-0.8442,0.157,0.706,0.137,0.6828070175438596,POSITIVE,0.9996
7,1853536027,01/25/2018,5.0,"Not until almost the end when my 5-star became a certainty, and not until shortly before that when my first tear came. Yes, it was intense, as any book about a major war out to be. the intensity in this book did not manifest itself only through the gruesomeness the wreckage, and the atrocity associated with the war, but the emotional struggles beneath the surface of ordinary human beings being pulled out of the reality of their otherwise ordinary, though not necessarily perfect lives.It was Stephen’s story through and through; even with the extension to his granddaughter Elizabeth 60 years ago. Stephen made an entrance to the story as a compulsive and reckless young man barely out of boyhood. The war reshaped him, and at the end we discovered along with Stephen himself, the will to live and the compassion to others that he never had thought he possessed.“Escaped from extermination, Stephen feared nothing any more. In the existence he had rejoined, so strange and so removed from what seemed natural, there was only violent death or life to choose between; finer distinctions, such as love, preference or kindness, were redundant.”At a certain point, I was just as fed up with the war as the soldiers in the story. Elizabeth’s episodes were cleverly inserted by the author to provide me for the breaks like Stephen had during the war. There were quite a number of memorable characters, Isabelle, Jeanne, Colonel Gray, JACK FIREBRACE, Captain Weir, Elizabeth’s boyfriend Robert… like Stephen, they are all conflicted characters in one way or another, yet felt so realistic and believable.Elizabeth’s love story echoed her grandmother’s but with its own spirals— History Does Not Repeat Itself, But It Rhymes .This was my first book by the author, and my first novel with detailed coverage on WWI. I know there are two other books in the trilogy. After being so marveled by this one, not sure if I should pick them up.",58,-0.8608,0.134,0.744,0.122,0.570374503968254,POSITIVE,0.9995
8,362620587,07/06/2012,1.0,"Birdsong? More like Birdshit. I may have given this book one star, but I really give it 20 piles of steaming birdshit. I can't even contain the hatred I feel for this one. It's just horrible. Everything and I mean everything about it, is just horrible. It starts off as a supposed love story between a young Englishman Stephen Wraysford and some French harlot named Isabelle. But it's not a love story, it's a fuck story that includes bastard children, betrayal and whole lot of boring WWI shit thrown in. After skimming through it just to finish it, my reaction was so strong that I threw it across the room and scared the shit out of my cats. ",53,-0.9838,0.291,0.588,0.121,0.6213888888888889,NEGATIVE,1.0
9,1151306465,01/02/2015,1.0,"warning: this review contains anger, copious swearing, and discussion of rape and misogyny.whenever anyone asks me what my least favourite book is, i always say this, which seems odd considering it's been voted as the 100 best books on a bbc list or whatever it was. usually, when i study a book, my appreciation and enjoyment of it multiplies tenfold. take, for example, the great gatsby, which i had liked previously but became one of my favourite books of all time when i began to study it. now this... thing. i don't understand why it has so much critical acclaim, i don't understand why i'm studying it at A Level, and i don't understand why it's one of the nation's favourite novels. 
i don't understand.
 the novel opens before the war, and stephen has an affair with isabelle. although isabelle does consent, there are some really rapey and misogynistic undertones that make me highly uncomfortable and i have no fucking idea why faulks decided to include them. choice extracts include: ""The force that drove through him could not be stopped. The part of his mind that remained calm accepted this; if the necessity could not be denied, then the question was only whether it could be achieved with her consent."" ""The more she imagined the degradation of her false modesty the more she felt excited.false modesty????? isabelle's initial denial is ""false modesty""?!?!?! i'm going to be sick. oh, and not only are the sex scenes misogynistic as fuck, they're also terribly written. like, honestly, they've practically turned me fully-fledged Gay. ""turning like a key in the split lock of her flesh""ummmm?? ouch?? not to mention how that also has misogynistic undertones tbh of being Unlocked by sex, can faulks Stop. how much do i have to pay to get him to Stopok now the rest. i was completely Bored for the entire novel, and isabelle and stephen's storyline is repeated in elizabeth and whatever the fuck her lover's name is, i can't remember. that is how much i care. now, supposedly this mirroring is supposed to Show The Interconnection Between The Past And Present And Future but to me it just seemed like faulks ran out of fucking ideas. elizabeth is honestly such an irritating character. ""wow i just realised the war was bad!!!"" fuck off liz. the only character i liked was that dude elizabeth works with who went to a restaurant, ordered solely wine, and lit a cigarette. Big Mood, and an Even Bigger Mood after reading this damn novel.oh yeah and all the women want children??? literally all of them??? excuse me but having children is not the be all and end all of womanhood.also: it seems the be all and end all of manhood is having sex. one of the soldiers is a virgin and he's fine with it but stephen is all ""you are Incomplete you must go to a brothel"" and the soldier doesn't want to but stephen makes him?? which is rape (AGAIN!!). oh, and at this brothel stephen pulls a knife out on a prostitute, and the prostitute.... holds his hand afterwards?????? fuck that shit bruv i don't care if he's a Damaged Soldier With Psychological Pain no man's gonna pull out a knife on me like that, the fuck?? many soldiers have ptsd and do not feel the urge to wave knives at prostitutes, fuck off faulks. thanks for perpetuating the mental illness makes you violent myth. tl dr; a literary trainwreck, -100000/10, would not recommend.",48,-0.9963,0.185,0.704,0.111,0.5504251700680275,NEGATIVE,0.9999
