Genre,Count
Fiction,58
Mystery,16
Thriller,13
Mystery Thriller,12
Suspense,11
Historical,21
Historical Fiction,18
Adventure,20
Novels,31
Crime,14
Adult,25
Fantasy,23
Young Adult,23
Magic,9
Childrens,15
Middle Grade,12
Classics,25
Audiobook,23
Science Fiction Fantasy,12
Romance,16
Paranormal,4
Vampires,4
Paranormal Romance,3
Supernatural,3
Urban Fantasy,4
Teen,2
Science Fiction,6
Action,1
Shapeshifters,3
Werewolves,2
Contemporary,23
Adult Fiction,16
Drama,7
Neurodiversity,1
Autistic Spectrum Disorder,1
Psychology,4
Literature,15
Academic,4
School,4
Womens Fiction,10
Chick Lit,10
Young Adult Paranormal,1
Young Adult Romance,1
Time Travel,1
Magical Realism,3
Nonfiction,24
Humor,20
Comedy,11
Biography,11
Writing,5
Essays,2
European Literature,17
British Literature,14
Transport,2
Cars,2
Autobiography,10
Politics,3
War,6
Literary Fiction,4
Science,3
History,7
Physics,1
Popular Science,1
Philosophy,5
Unfinished,2
Cultural,17
Sweden,2
Memoir,8
Sociology,2
Abuse,1
Biography Memoir,7
True Crime,1
True Story,1
Health,6
Food and Drink,10
Food,10
Nutrition,3
Cookbooks,8
Cooking,8
Reference,11
Diets,2
Self Help,4
Family,4
World War I,1
France,2
Mythology,1
Greek Mythology,1
Pirates,1
India,2
Short Stories,2
Fairy Tales,1
Italy,3
Book Club,5
Picture Books,1
Animals,1
Poetry,1
Storytime,1
Folklore,1
Monsters,1
Language,1
Humanities,1
Linguistics,1
Education,1
Steampunk,3
Historical Mystery,1
Ukraine,1
Spirituality,2
Inspirational,1
Travel,3
Travelogue,1
World War II,2
Holocaust,2
The United States Of America,1
American,2
Culture,3
Society,1
Cuisine,5
Legal Thriller,2
Spy Thriller,1
Espionage,1
Media Tie In,1
Tv,1
Plays,1
Theatre,1
Music,2
Film,1
Culinary,4
Italian Literature,1
Scotland,1
Gothic,1
Foodie,5
Food Writing,1
How To,1
Japan,1
Asia,2
Horticulture,1
Gardening,1
Couture,1
Fashion,1
Realistic Fiction,1
LGBT,1
Gay,1
Canada,1
Dark,1
Ireland,2
Irish Literature,2
Trivia,1
Anthologies,2
Collections,2
Race,1
African American,1
Read For School,2
High School,2
Law,1
Coming Of Age,1
Personal Development,1
Sports,1
Fitness,1
Bangladesh,1
Contemporary Romance,3
Books About Books,1
Journalism,1
Engineering,1
Pop Culture,1
Australia,1
Roman,1
Anthropology,1
