,Goodreads_ID,ISBN,Title,Author,Imprint,Publisher_Group,Volume,Value,RRP,ASP,Binding,Publ_Date,Product_Class,book_series,num_pages,num_goodreads_ratings,average_goodreads_ratings,num_goodreads_reviews
70,2657.To_Kill_a_Mockingbird,9.7801E+12,To Kill a Mockingbird,"Lee, Harper",Arrow Books,Random House Grp,"682,102","$4,874,165.30 ",$9.37 ,$7.33 ,Paperback,10/5/89,F1.1  General & Literary Fiction,To Kill a Mockingbird,336,5176780,4.27,101417
28,6259.Birdsong,9.7801E+12,Birdsong,"Faulks, Sebastian",Vintage,Random House Grp,"1,078,571","$9,657,961.10 ",$10.71 ,$8.95 ,Paperback,7/18/94,F1.1  General & Literary Fiction,French Trilogy,483,73361,4.09,3448
73,5107.The_Catcher_in_the_Rye,9.78014E+12,"Catcher in the Rye,The","Salinger, J.D.",Penguin Books,Penguin Grp,"668,497","$5,995,646.76 ",$12.05 ,$8.96 ,Paperback,8/4/94,F1.1  General & Literary Fiction,nan,277,3064135,3.81,66786
48,55261620-the-very-hungry-caterpillar-big-book,9.78024E+12,"Very Hungry Caterpillar,The:The Very Hungry Caterpillar","Carle, Eric",Puffin Books,Penguin Grp,"855,920","$5,496,433.59 ",$8.03 ,$6.42 ,Hardback,9/29/94,Y1.1  Pre-school & Early Learning,nan,,8,5,0
33,6580573-captain-corelli-s-mandolin,9.78075E+12,Captain Corelli's Mandolin,"De Bernieres, Louis",Minerva,Random House Grp,"1,025,664","$9,415,238.65 ",$10.71 ,$9.18 ,Paperback,6/1/95,F1.1  General & Literary Fiction,nan,999,3876,4.3,62
42,28.Notes_from_a_Small_Island,9.78055E+12,Notes from a Small Island,"Bryson, Bill",Black Swan,Transworld Grp,"898,388","$8,563,216.90 ",$12.05 ,$9.53 ,Paperback,8/1/96,T8.5  Travel Writing,Notes from a Small Island,324,104427,3.91,4666
66,856990.Angela_s_Ashes,9.78001E+12,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank",Flamingo,HarperCollins Grp,"694,831","$7,009,834.26 ",$10.71 ,$10.09 ,Paperback,5/6/97,T4.0A  Autobiography: General,Frank McCourt,426,582788,4.13,12837
47,12557299-articles-on-british-comedy-novels-including,9.78033E+12,Bridget Jones's Diary:A Novel,"Fielding, Helen",Picador,Pan Macmillan Grp,"858,390","$7,116,045.56 ",$10.71 ,$8.29 ,Paperback,6/20/97,F1.1  General & Literary Fiction,nan,106,2,3,0
1,72193.Harry_Potter_and_the_Philosopher_s_Stone,9.78075E+12,Harry Potter and the Philosopher's Stone,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,844,316","$26,603,271.16 ",$9.37 ,$6.99 ,Paperback,6/26/97,Y2.1  Children's Fiction,Harry Potter,223,8334489,4.48,131608
56,929.Memoirs_of_a_Geisha,9.7801E+12,Memoirs of a Geisha,"Golden, Arthur",Vintage,Random House Grp,"766,706","$6,891,933.24 ",$10.71 ,$8.99 ,Paperback,6/4/98,F1.1  General & Literary Fiction,nan,503,1843827,4.13,32346
57,41637836-the-subtle-knife,9.78059E+12,"Subtle Knife,The:His Dark Materials S.","Pullman, Philip",Point,Scholastic Ltd. Grp,"762,717","$5,809,212.54 ",$9.37 ,$7.61 ,Paperback,10/16/98,Y2.2  Young Adult Fiction,His Dark Materials,370,403075,4.14,11422
36,24963101-northern-lights,9.78059E+12,Northern Lights:His Dark Materials S.,"Pullman, Philip",Point,Scholastic Ltd. Grp,"976,435","$7,517,570.41 ",$9.37 ,$7.71 ,Paperback,10/23/98,Y2.2  Young Adult Fiction,His Dark Materials,416,1397236,4,24896
2,15881.Harry_Potter_and_the_Chamber_of_Secrets,9.78075E+12,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,184,492","$21,740,189.45 ",$9.37 ,$6.79 ,Paperback,4/1/99,Y2.1  Children's Fiction,Harry Potter,341,3214825,4.43,63057
41,20910195-the-alchemist,9.78072E+12,"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo",Thorsons,HarperCollins Grp,"903,395","$8,536,778.60 ",$10.71 ,$9.45 ,Paperback,9/6/99,F1.1  General & Literary Fiction,nan,208,2481157,3.89,95242
64,47401.Chocolat,9.78055E+12,Chocolat,"Harris, Joanne",Black Swan,Transworld Grp,"713,299","$6,065,093.68 ",$10.71 ,$8.51 ,Paperback,3/2/00,F1.1  General & Literary Fiction,Chocolat,306,119334,3.96,4647
27,47345.Man_and_Boy,9.78001E+12,Man and Boy,"Parsons, Tony",HarperCollins Publishers,HarperCollins Grp,"1,100,447","$9,188,962.11 ",$10.71 ,$8.35 ,Paperback,3/6/00,F1.1  General & Literary Fiction,Harry Silver,368,15654,3.57,713
65,1202922.The_Return_Of_The_Naked_Chef,9.78072E+12,"Return of the Naked Chef,The","Oliver, Jamie",Michael Joseph,Penguin Grp,"707,570","$14,950,232.69 ",$26.80 ,$21.13 ,Hardback,3/30/00,T16.0  Food & Drink: General,nan,387,3985,4.01,48
6,5.Harry_Potter_and_the_Prisoner_of_Azkaban,9.78075E+12,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,776,314","$18,948,257.85 ",$9.37 ,$6.77 ,Paperback,4/1/00,Y2.1  Children's Fiction,Harry Potter,435,3366901,4.58,66258
39,363752.Bridget_Jones,9.78033E+12,Bridget Jones: The Edge of Reason,"Fielding, Helen",Picador,Pan Macmillan Grp,"923,429","$7,364,419.33 ",$10.71 ,$7.97 ,Paperback,6/15/00,F1.1  General & Literary Fiction,Bridget Jones,352,106647,3.6,2701
