Goodreads_ID,Index,ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class,book series,num pages,genres,shelves,num goodreads ratings,average goodreads ratings,goodreads rating distribution,num goodreads reviews
968.The_Da_Vinci_Code,1,9780552149518,"Da Vinci Code,The","Brown, Dan",Corgi Books,Transworld Grp,"4,522,025","£22,857,837.53",£7.99,£5.05,Paperback,1 Mar 2004,"F2.1  Crime, Thriller & Adventure",Robert Langdon #2,489,"{'genres': ['Fiction', 'Mystery', 'Thriller', 'Thriller > Mystery Thriller', 'Suspense', 'Historical > Historical Fiction', 'Adventure', 'Novels', 'Mystery > Crime', 'Adult']}","{'to-read': 416339, 'currently-reading': 19278, 'fiction': 18014, 'mystery': 9726, 'thriller': 7441, 'favorites': 7409, 'own': 3673, 'owned': 3566, 'books-i-own': 2954, 'dan-brown': 2726, 'mystery-thriller': 1861, 'suspense': 1804, 'historical-fiction': 1770, 'adventure': 1455, 'series': 1313, 'novels': 1299, 'crime': 1255, 'default': 1207, 'adult': 1097, 'owned-books': 975, 'contemporary': 970, 'thrillers': 881, 'adult-fiction': 832, 'novel': 821, 'religion': 749, 'my-books': 712, 'favourites': 672, 'my-library': 612, 'general-fiction': 590, 'library': 531, 'mystery-suspense': 510, 'classics': 487, 'historical': 482, 'fantasy': 474, 'contemporary-fiction': 456, 'mysteries': 452, 'history': 445, 'book-club': 427, '2020': 407, 'action': 392, '2021': 384, 'robert-langdon': 379, 'i-own': 377, 'thriller-mystery': 369, 'kindle': 369, 'books': 358, 'literature': 344, '2019': 343, '2018': 338, 'english': 331, 'audiobook': 315, 'action-adventure': 309, 'bookshelf': 307, 'crime-mystery': 307, 'american': 298, 'crime-thriller': 296, 'conspiracy': 296, 'rory-gilmore-reading-challenge': 296, 'tbr': 291, 'drama': 285, 'suspense-thriller': 282, 'art': 281, '2017': 280, '2016': 276, 'finished': 268, 'audiobooks': 267, 'favorite': 262, 'ebook': 258, 'borrowed': 256, 'mystery-crime': 247, 'detective': 246, 'home-library': 245, 'thriller-suspense': 245, 'own-it': 235, 'have': 234, 'great-american-read': 232, 'brown-dan': 223, '2015': 222, 'روايات': 219, 'to-buy': 218, '2014': 214, '2013': 213, 'france': 213, '2004': 212, 'on-my-shelf': 210, 'other': 210, '5-stars': 209, 'all-time-favorites': 207, 'dnf': 207, 'my-bookshelf': 198, '2006': 195, 'shelfari-favorites': 193, 'physical-tbr': 193, 'books-i-have': 190, 'modern-fiction': 186, 'american-literature': 185, 'favorite-books': 172, 'abandoned': 170, 're-read': 168, 'rory-gilmore-challenge': 167}",2121534,3.88,"{'5 Stars': 731457, '4 Stars': 729405, '3 Stars': 428021, '2 Stars': 149660, '1 Star': 82991}",50199
72193.Harry_Potter_and_the_Philosopher_s_Stone,3,9780747532743,Harry Potter and the Philosopher's Stone,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,844,316","£19,853,187.43",£6.99,£5.22,Paperback,26 Jun 1997,Y2.1  Children's Fiction,Harry Potter #1,223,"{'genres': ['Fantasy', 'Fiction', 'Young Adult', 'Fantasy > Magic', 'Childrens', 'Childrens > Middle Grade', 'Classics', 'Adventure', 'Audiobook', 'Science Fiction Fantasy']}","{'to-read': 1266232, 'currently-reading': 187020, 'fantasy': 68800, 'favorites': 58424, 'fiction': 20546, 'young-adult': 19406, 'harry-potter': 13133, 'owned': 11206, 'books-i-own': 11020, 'own': 10986, 'ya': 7480, 'series': 6726, 'favourites': 6420, 'magic': 5442, '2020': 5225, 'childrens': 4941, 're-read': 4306, 'middle-grade': 3929, '2021': 3791, '2019': 3679, '2018': 3624, '2016': 3317, 'adventure': 3204, 'classics': 3201, 'children': 3199, '2017': 3189, 'audiobook': 3108, 'owned-books': 2998, 'audiobooks': 2903, 'reread': 2590, 'childhood': 2589, '2015': 2422, 'children-s': 2334, 'all-time-favorites': 2026, 'my-books': 1985, '5-stars': 1914, 'j-k-rowling': 1831, 'sci-fi-fantasy': 1811, '2014': 1758, 'kids': 1724, 'children-s-books': 1629, 'novels': 1618, 'my-library': 1566, 'favorite-books': 1429, 'default': 1349, 'audio': 1326, 'ya-fantasy': 1317, 'favorite': 1283, 'english': 1257, 're-reads': 1218, 'fantasy-sci-fi': 1204, 'library': 1182, 'i-own': 1180, 'books': 1161, '2013': 1160, '2022': 1106, 'bookshelf': 1026, 'paranormal': 997, 'urban-fantasy': 993, 'read-more-than-once': 991, 'witches': 961, 'read-in-2016': 953, 'read-in-2020': 945, 'read-in-2017': 906, 'kindle': 905, 'my-bookshelf': 892, 'childrens-books': 885, 'rereads': 884, 'novel': 875, 'mystery': 875, 'british': 859, 'read-in-2018': 854, 'audible': 850, 'on-my-shelf': 837, 'childhood-favorites': 830, '2012': 829, 'faves': 825, 'read-in-2019': 824, 'fantasia': 812, '2011': 792, 'teen': 783, 'favorite-series': 767, 'favs': 759, 'audio-books': 757, 'ya-fiction': 747, 'my-favorites': 744, 'jk-rowling': 741, 'classic': 718, 'kids-books': 716, 'read-in-2015': 707, 'read-in-english': 706, 'harry-potter-series': 706, 'ebook': 703, 'supernatural': 684, 'childhood-books': 668, 'hp': 666, 'own-it': 637, 'favoritos': 636, 'all-time-favourites': 630, '2020-reads': 625}",8334489,4.48,"{'5 Stars': 5420633, '4 Stars': 1906445, '3 Stars': 702884, '2 Stars': 163022, '1 Star': 141505}",131608
15881.Harry_Potter_and_the_Chamber_of_Secrets,7,9780747538486,Harry Potter and the Chamber of Secrets,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,184,492","£16,224,021.98",£6.99,£5.07,Paperback,1 Apr 1999,Y2.1  Children's Fiction,Harry Potter #2,341,"{'genres': ['Fantasy', 'Fiction', 'Young Adult', 'Fantasy > Magic', 'Childrens', 'Childrens > Middle Grade', 'Audiobook', 'Adventure', 'Classics', 'Science Fiction Fantasy']}","{'fantasy': 57513, 'favorites': 35022, 'fiction': 16632, 'young-adult': 16371, 'harry-potter': 11533, 'owned': 9810, 'books-i-own': 9757, 'own': 9572, 'ya': 6088, 'series': 5591, 'magic': 4568, '2020': 4200, 'favourites': 4068, 'childrens': 3888, 're-read': 3299, '2021': 3172, 'middle-grade': 3057, '2019': 2997, '2018': 2931, 'owned-books': 2678, 'audiobook': 2676, '2017': 2657, '2016': 2637, 'children': 2573, 'audiobooks': 2495, 'adventure': 2487, 'childhood': 2115, 'reread': 1943, '2015': 1901, 'children-s': 1827, 'classics': 1825, 'my-books': 1700, 'j-k-rowling': 1669, '2014': 1463, '5-stars': 1415, 'sci-fi-fantasy': 1389, 'my-library': 1360, 'novels': 1289, 'default': 1272, 'kids': 1269, 'children-s-books': 1265, 'all-time-favorites': 1201, 'audio': 1114, 'ya-fantasy': 1110, 'english': 1026, 'i-own': 1021, 'library': 996, 'fantasy-sci-fi': 992, 're-reads': 985, '2013': 962, 'favorite-books': 904, 'bookshelf': 890, 'books': 874, 'read-more-than-once': 873, 'favorite': 846, 'mystery': 839, '2022': 837, 'urban-fantasy': 834, 'witches': 800, 'paranormal': 794, 'my-bookshelf': 788, 'read-in-2017': 751, 'read-in-2020': 750, 'on-my-shelf': 743, 'jk-rowling': 740, 'read-in-2016': 740, 'read-in-2018': 723, 'rereads': 722, 'childrens-books': 720, 'british': 712, 'novel': 702, 'kindle': 698, 'audible': 691, '2011': 685, '2012': 683, 'fantasia': 673, 'read-in-2019': 670, 'teen': 640, 'harry-potter-series': 638, 'audio-books': 634, 'ya-fiction': 601, 'childhood-favorites': 588, 'supernatural': 557, 'read-in-2015': 557, 'ebook': 555, 'own-it': 553, 'childhood-books': 553, 'to-read': 546, 'read-in-english': 542, '2020-reads': 529, 'juvenile': 527, 'scifi-fantasy': 519, 'read-2020': 513, 'books-i-have': 507, 'kids-books': 504, 'hp': 497, 'youth': 494, 'young-adult-fiction': 489, 'my-favorites': 487, 'home-library': 486}",3214825,4.43,"{'5 Stars': 1906462, '4 Stars': 878809, '3 Stars': 350929, '2 Stars': 60870, '1 Star': 17755}",63057
960.Angels_Demons,6,9780552150736,Angels and Demons,"Brown, Dan",Corgi Books,Transworld Grp,"3,096,850","£15,537,324.84",£7.99,£5.05,Paperback,1 Jul 2003,"F2.1  Crime, Thriller & Adventure",Robert Langdon #1,736,"{'genres': ['Fiction', 'Mystery', 'Thriller', 'Thriller > Mystery Thriller', 'Suspense', 'Adventure', 'Mystery > Crime', 'Historical > Historical Fiction', 'Novels', 'Adult']}","{'to-read': 656905, 'currently-reading': 16603, 'fiction': 12561, 'mystery': 7273, 'thriller': 6419, 'favorites': 5985, 'own': 2794, 'dan-brown': 2652, 'owned': 2636, 'books-i-own': 2120, 'mystery-thriller': 1599, 'suspense': 1502, 'series': 1343, 'adventure': 1162, 'crime': 1130, 'historical-fiction': 1055, 'default': 962, 'novels': 858, 'adult': 796, 'thrillers': 781, 'owned-books': 731, 'contemporary': 690, 'adult-fiction': 563, 'religion': 544, 'my-books': 536, 'favourites': 503, 'novel': 499, 'library': 451, 'my-library': 448, 'fantasy': 446, 'mystery-suspense': 419, 'general-fiction': 413, 'robert-langdon': 367, 'action': 363, 'historical': 315, '2020': 311, 'contemporary-fiction': 307, 'mysteries': 306, 'audiobook': 305, '2021': 302, 'thriller-mystery': 299, 'action-adventure': 287, 'books': 280, 'i-own': 279, 'english': 279, '2017': 267, 'crime-mystery': 267, '2019': 266, 'audiobooks': 263, 'crime-thriller': 261, 'suspense-thriller': 258, '2018': 248, 'history': 243, '2016': 241, 'conspiracy': 236, 'ebook': 234, 'kindle': 227, 'to-buy': 225, 'brown-dan': 213, 'italy': 210, 'drama': 210, '2015': 204, 'mystery-crime': 202, 'literature': 199, 'science-fiction': 195, '2013': 193, 'bookshelf': 192, 'wishlist': 191, 'tbr': 189, 'borrowed': 189, 'thriller-suspense': 188, 'american': 186, '2009': 186, 'favorite': 177, 'dnf': 174, 'finished': 172, 'home-library': 171, '2014': 170, 'sci-fi': 164, 'classics': 161, 'have': 159, 'on-my-shelf': 156, 'own-it': 155, 'detective': 154, 'shelfari-favorites': 152, '5-stars': 152, 'other': 152, 'audio': 151, 'paperback': 144, 'all-time-favorites': 144, 'book-club': 143, 'my-bookshelf': 138, 'books-i-have': 137, 'modern-fiction': 132, 'ebooks': 129, 'personal-library': 129, 'brown': 129, 're-read': 128, 'favorite-books': 127, 'روايات': 124}",2921948,3.92,"{'5 Stars': 1044923, '4 Stars': 989925, '3 Stars': 599883, '2 Stars': 184617, '1 Star': 102600}",31070
2.Harry_Potter_and_the_Order_of_the_Phoenix,2,9780747551003,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,043,226","£33,925,431.19",£16.99,£11.15,Hardback,21 Jun 2003,Y2.1  Children's Fiction,Harry Potter #5,870,"{'genres': ['Fantasy', 'Young Adult', 'Fiction', 'Fantasy > Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens > Middle Grade', 'Classics', 'Science Fiction Fantasy']}","{'to-read': 400226, 'currently-reading': 62033, 'fantasy': 53150, 'favorites': 39184, 'young-adult': 16413, 'fiction': 14912, 'harry-potter': 10715, 'books-i-own': 8992, 'owned': 8965, 'own': 8927, 'ya': 6210, 'series': 5004, 'favourites': 4422, 'magic': 4148, '2020': 3121, 'childrens': 3019, 're-read': 2512, '2021': 2452, 'owned-books': 2434, '2019': 2217, 'adventure': 2211, 'audiobook': 2202, '2018': 2082, 'audiobooks': 2044, 'middle-grade': 1989, '2016': 1970, 'children': 1968, '2017': 1885, 'childhood': 1776, 'j-k-rowling': 1587, 'my-books': 1542, 'classics': 1510, 'reread': 1453, 'children-s': 1410, '2015': 1391, '5-stars': 1379, 'sci-fi-fantasy': 1323, 'all-time-favorites': 1314, 'my-library': 1264, 'default': 1215, 'novels': 1110, 'ya-fantasy': 1108, '2014': 1008, 'children-s-books': 1003, 'kids': 982, 'fantasy-sci-fi': 969, 'favorite-books': 957, 'i-own': 955, 'favorite': 878, 'library': 876, 'audio': 858, 'english': 833, 'urban-fantasy': 794, 'bookshelf': 787, 'books': 782, 'read-more-than-once': 746, 'paranormal': 745, 're-reads': 728, 'witches': 728, '2013': 726, 'my-bookshelf': 702, 'teen': 699, 'on-my-shelf': 671, 'jk-rowling': 667, 'british': 653, 'ya-fiction': 622, 'kindle': 617, 'novel': 616, '2022': 594, 'mystery': 591, 'harry-potter-series': 580, '2011': 578, 'audible': 575, 'childrens-books': 573, 'read-in-2020': 570, 'rereads': 565, 'faves': 550, 'tbr': 548, 'read-in-2017': 536, 'read-in-2016': 524, 'own-it': 517, 'favs': 516, 'childhood-favorites': 513, 'audio-books': 512, 'my-favorites': 510, 'supernatural': 505, 'fantasia': 505, '2012': 493, 'read-in-2018': 490, 'read-in-2019': 486, 'fantasía': 485, '5-star': 484, 'ebook': 484, 'hp': 480, 'childhood-books': 474, 'scifi-fantasy': 473, 'young-adult-fiction': 470, 'youth': 450, 'books-i-have': 445, 'coming-of-age': 444}",2882627,4.50,"{'5 Stars': 1842775, '4 Stars': 726288, '3 Stars': 250988, '2 Stars': 44875, '1 Star': 17701}",50446
136251.Harry_Potter_and_the_Deathly_Hallows,5,9780747591054,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,842,059","£25,028,396.30",£17.99,£8.81,Hardback,21 Jul 2007,Y2.1  Children's Fiction,Harry Potter #7,759,"{'genres': ['Fantasy', 'Young Adult', 'Fiction', 'Fantasy > Magic', 'Childrens', 'Adventure', 'Audiobook', 'Childrens > Middle Grade', 'Classics', 'Science Fiction Fantasy']}","{'to-read': 471381, 'fantasy': 53031, 'favorites': 47068, 'currently-reading': 39213, 'young-adult': 16555, 'fiction': 14988, 'harry-potter': 10596, 'own': 9095, 'owned': 9088, 'books-i-own': 9054, 'ya': 6358, 'series': 5114, 'favourites': 5112, 'magic': 4197, 'childrens': 2914, '2020': 2864, 'owned-books': 2464, 're-read': 2353, 'adventure': 2331, '2021': 2269, 'audiobook': 2022, '2019': 1969, 'audiobooks': 1923, 'children': 1918, '2018': 1871, 'middle-grade': 1835, '2016': 1755, '2017': 1709, 'childhood': 1681, 'all-time-favorites': 1635, '5-stars': 1632, 'j-k-rowling': 1586, 'my-books': 1582, 'classics': 1573, 'children-s': 1369, 'sci-fi-fantasy': 1336, 'reread': 1330, 'my-library': 1267, 'default': 1223, '2015': 1204, '2007': 1146, 'favorite-books': 1141, 'novels': 1118, 'ya-fantasy': 1089, 'favorite': 1028, 'fantasy-sci-fi': 972, 'children-s-books': 970, 'kids': 960, 'i-own': 958, '2014': 904, 'english': 886, 'audio': 863, 'library': 861, 'books': 796, 'bookshelf': 792, 'paranormal': 779, 'urban-fantasy': 771, 'made-me-cry': 752, 'teen': 745, 'witches': 728, '2011': 710, '2013': 696, 'read-more-than-once': 695, 'my-bookshelf': 687, 'jk-rowling': 685, 're-reads': 678, 'british': 653, 'on-my-shelf': 648, 'tbr': 630, 'faves': 616, 'my-favorites': 612, 'ya-fiction': 611, 'novel': 596, 'kindle': 578, '2022': 576, 'harry-potter-series': 576, '5-star': 570, 'fantasia': 567, 'mystery': 548, 'childrens-books': 544, 'own-it': 539, 'audible': 538, 'favs': 526, '2010': 519, 'read-in-2020': 518, 'supernatural': 511, 'rereads': 504, 'young-adult-fiction': 502, 'childhood-favorites': 498, 'favoritos': 489, 'scifi-fantasy': 488, 'hp': 484, 'all-time-favourites': 480, 'coming-of-age': 477, 'ebook': 473, 'favourite': 471, 'audio-books': 464, 'read-in-2016': 463, 'read-in-2017': 462, '2012': 459}",3195628,4.62,"{'5 Stars': 2320964, '4 Stars': 626777, '3 Stars': 181840, '2 Stars': 39099, '1 Star': 26948}",73237
5.Harry_Potter_and_the_Prisoner_of_Azkaban,8,9780747546290,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,776,314","£14,140,490.93",£6.99,£5.05,Paperback,1 Apr 2000,Y2.1  Children's Fiction,Harry Potter #3,435,"{'genres': ['Fantasy', 'Young Adult', 'Fiction', 'Fantasy > Magic', 'Childrens', 'Childrens > Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']}","{'to-read': 360230, 'currently-reading': 58615, 'fantasy': 57094, 'favorites': 49753, 'young-adult': 16566, 'fiction': 16319, 'harry-potter': 11417, 'owned': 9619, 'books-i-own': 9526, 'own': 9426, 'ya': 6168, 'favourites': 6000, 'series': 5489, 'magic': 4529, '2020': 3978, 'childrens': 3778, 're-read': 3136, '2021': 2959, 'middle-grade': 2849, '2019': 2831, '2018': 2696, 'owned-books': 2631, 'audiobook': 2511, 'adventure': 2502, 'children': 2453, '2016': 2432, '2017': 2410, 'audiobooks': 2313, 'childhood': 2108, 'reread': 1830, 'classics': 1775, '5-stars': 1765, '2015': 1758, 'children-s': 1739, 'j-k-rowling': 1680, 'all-time-favorites': 1650, 'my-books': 1636, 'sci-fi-fantasy': 1378, '2014': 1332, 'my-library': 1326, 'novels': 1248, 'default': 1247, 'children-s-books': 1230, 'favorite-books': 1209, 'kids': 1178, 'ya-fantasy': 1133, 'favorite': 1094, 'audio': 1054, 'fantasy-sci-fi': 1012, 'i-own': 1011, 'library': 974, 'english': 973, 're-reads': 933, '2013': 912, 'books': 863, 'read-more-than-once': 856, 'bookshelf': 843, 'urban-fantasy': 837, 'faves': 784, 'paranormal': 782, 'witches': 778, 'favs': 763, 'my-bookshelf': 758, 'on-my-shelf': 725, 'read-in-2017': 718, 'jk-rowling': 717, '2022': 717, 'british': 712, 'read-in-2020': 711, 'favoritos': 706, 'mystery': 700, 'childrens-books': 685, 'rereads': 679, '2011': 671, 'teen': 669, 'novel': 668, 'read-in-2018': 664, 'audible': 663, 'fantasia': 662, 'time-travel': 662, 'read-in-2016': 661, 'kindle': 656, 'read-in-2019': 634, 'harry-potter-series': 627, '2012': 622, 'my-favorites': 610, 'ya-fiction': 608, 'childhood-favorites': 607, '5-star': 603, 'audio-books': 591, 'supernatural': 574, 'all-time-favourites': 560, 'childhood-books': 543, 'own-it': 540, 'ebook': 534, 'favourite': 523, 'read-in-2015': 517, 'scifi-fantasy': 516, 'hp': 507, 'juvenile': 503}",3366901,4.58,"{'5 Stars': 2296979, '4 Stars': 784579, '3 Stars': 236075, '2 Stars': 32427, '1 Star': 16841}",66258
41865.Twilight,15,9781904233657,Twilight,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","2,105,862","£10,148,762.73",£7.99,£4.80,Paperback,22 Mar 2007,Y2.2  Young Adult Fiction,The Twilight Saga #1,498,"{'genres': ['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Paranormal > Vampires', 'Fantasy > Paranormal', 'Romance > Paranormal Romance', 'Fantasy > Supernatural', 'Fantasy > Urban Fantasy', 'Young Adult > Teen']}","{'to-read': 57371, 'fantasy': 20792, 'young-adult': 20483, 'favorites': 13738, 'romance': 13050, 'ya': 8912, 'fiction': 8434, 'vampires': 8183, 'books-i-own': 6400, 'own': 6221, 'paranormal': 6188, 'owned': 4820, 'series': 4237, 'twilight': 3131, 'vampire': 3053, 'paranormal-romance': 2312, 'supernatural': 2124, 'currently-reading': 1803, 'urban-fantasy': 1591, 'teen': 1576, 'owned-books': 1536, 'my-books': 1345, '2020': 1341, 'stephenie-meyer': 1140, 'favourites': 1070, '2009': 1029, 'ya-fantasy': 965, '2021': 936, '2008': 930, 're-read': 912, 'werewolves': 873, 'ya-fiction': 803, 'i-own': 791, 'my-library': 751, 'default': 743, 'chick-lit': 712, 'contemporary': 705, 'dnf': 693, 'twilight-saga': 691, 'books': 632, 'young-adult-fiction': 629, 'sci-fi-fantasy': 603, 'library': 572, 'high-school': 570, 'love': 570, 'horror': 562, 'novels': 552, 'twilight-series': 542, 'bookshelf': 530, 'book-club': 516, 'favorite': 504, 'reread': 494, '2019': 491, 'audiobook': 487, 'favorite-books': 471, 'my-bookshelf': 454, '2010': 453, 'fantasy-sci-fi': 451, '5-stars': 450, 'audiobooks': 443, '2018': 439, 'on-my-shelf': 437, 'guilty-pleasures': 429, 'teen-fiction': 427, 'ya-books': 421, 'all-time-favorites': 416, 'books-i-have': 409, 'read-more-than-once': 402, 'finished': 402, 'stephanie-meyer': 401, 'kindle': 390, 'vamps': 375, 'own-it': 374, 'my-favorites': 373, 'childhood': 371, '2016': 370, 'tbr': 370, '2017': 368, 'séries': 367, 'abandoned': 363, 'novel': 361, 'love-triangle': 350, 'borrowed': 348, '2015': 346, '2011': 346, 'have': 346, 'did-not-finish': 343, 'ya-romance': 328, '2012': 327, 'read-in-2020': 323, 'physical-tbr': 315, '2013': 310, '2014': 307, 'ebook': 304, 'english': 303, '3-stars': 298, 'ya-lit': 296, 'vampire-books': 294, 'never-again': 294, 'already-read': 294}",5644637,3.62,"{'5 Stars': 2009864, '4 Stars': 1283424, '3 Stars': 1156805, '2 Stars': 602204, '1 Star': 592340}",113330
6.Harry_Potter_and_the_Goblet_of_Fire,9,9780747550990,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,057,397","£10,745,711.77",£8.99,£5.22,Paperback,6 Jul 2001,Y2.1  Children's Fiction,Harry Potter #4,734,"{'genres': ['Fantasy', 'Young Adult', 'Fiction', 'Fantasy > Magic', 'Childrens', 'Adventure', 'Childrens > Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']}","{'fantasy': 55132, 'favorites': 42470, 'young-adult': 16721, 'fiction': 15546, 'owned': 9258, 'books-i-own': 9155, 'own': 9155, 'ya': 6241, 'series': 5374, 'favourites': 4817, 'magic': 4375, '2020': 3633, 'childrens': 3313, 're-read': 2770, '2021': 2689, '2019': 2503, 'owned-books': 2500, 'audiobook': 2366, 'adventure': 2364, '2018': 2289, 'middle-grade': 2280, '2016': 2212, 'audiobooks': 2152, 'children': 2139, '2017': 2068, 'childhood': 1951, 'classics': 1641, 'j-k-rowling': 1640, 'reread': 1621, '5-stars': 1611, 'my-books': 1585, 'children-s': 1549, '2015': 1517, 'all-time-favorites': 1469, 'sci-fi-fantasy': 1367, 'my-library': 1284, 'default': 1220, 'novels': 1188, '2014': 1157, 'children-s-books': 1126, 'ya-fantasy': 1123, 'kids': 1097, 'favorite-books': 1034, 'fantasy-sci-fi': 993, 'audio': 986, 'i-own': 980, 'favorite': 935, 'library': 927, 'english': 878, 're-reads': 840, 'urban-fantasy': 812, 'read-more-than-once': 811, '2013': 811, 'books': 806, 'bookshelf': 802, 'dragons': 760, 'paranormal': 755, 'witches': 750, 'my-bookshelf': 721, 'jk-rowling': 700, 'british': 685, 'teen': 683, 'on-my-shelf': 674, 'read-in-2020': 657, 'novel': 644, 'kindle': 634, 'mystery': 631, 'rereads': 628, '2011': 621, 'fantasia': 621, 'ya-fiction': 610, 'read-in-2016': 602, 'childrens-books': 600, 'audible': 597, 'harry-potter-series': 596, 'read-in-2017': 579, 'faves': 579, 'read-in-2019': 564, 'read-in-2018': 560, 'favs': 548, 'my-favorites': 548, 'audio-books': 547, 'childhood-favorites': 546, '2012': 535, '5-star': 531, 'supernatural': 528, 'own-it': 516, 'ebook': 511, 'favoritos': 501, 'childhood-books': 497, 'scifi-fantasy': 496, 'tbr': 485, 'hp': 478, 'youth': 478, 'young-adult-fiction': 468, 'all-time-favourites': 466, 'read-2020': 453, 'coming-of-age': 453, 'read-in-2015': 453, 'books-i-have': 452}",3007115,4.57,"{'5 Stars': 2016810, '4 Stars': 733314, '3 Stars': 212443, '2 Stars': 30319, '1 Star': 14229}",55150
976.Deception_Point,10,9780552151764,Deception Point,"Brown, Dan",Corgi Books,Transworld Grp,"2,018,264","£10,047,195.89",£7.99,£4.95,Paperback,1 May 2004,"F2.1  Crime, Thriller & Adventure",,556,"{'genres': ['Fiction', 'Thriller', 'Mystery', 'Suspense', 'Thriller > Mystery Thriller', 'Adventure', 'Mystery > Crime', 'Science Fiction', 'Novels', 'Action']}","{'to-read': 179925, 'currently-reading': 6301, 'fiction': 4358, 'thriller': 3022, 'mystery': 1998, 'dan-brown': 1869, 'owned': 1127, 'favorites': 1010, 'own': 1009, 'books-i-own': 731, 'suspense': 660, 'default': 584, 'mystery-thriller': 573, 'adventure': 450, 'crime': 413, 'thrillers': 375, 'science-fiction': 375, 'novels': 347, 'sci-fi': 340, 'owned-books': 281, 'my-books': 225, 'action': 223, 'my-library': 205, 'library': 201, 'novel': 197, 'contemporary': 179, 'adult': 171, 'mystery-suspense': 154, 'brown-dan': 152, 'adult-fiction': 149, 'action-adventure': 133, 'general-fiction': 133, 'ebook': 132, 'thriller-mystery': 132, 'english': 122, 'kindle': 120, 'crime-thriller': 113, 'favourites': 107, 'drama': 107, '2019': 106, 'suspense-thriller': 100, 'books': 96, '2020': 96, 'audiobook': 95, 'audiobooks': 92, '2021': 91, 'ebooks': 91, 'i-own': 91, 'home-library': 90, 'conspiracy': 89, 'crime-mystery': 88, '2016': 84, 'thriller-suspense': 84, 'contemporary-fiction': 84, 'have': 82, '2018': 81, 'bookshelf': 81, 'brown': 79, '2017': 77, '2014': 74, 'paperback': 72, 'american': 72, 'wishlist': 71, 'fantasy': 71, 'audio': 71, 'mysteries': 71, '2013': 69, 'tbr': 67, 'mystery-crime': 67, 'own-it': 66, 'finished': 64, 'on-my-shelf': 63, '2015': 61, 'روايات': 61, 'to-buy': 61, 'detective': 57, 'general': 57, '2011': 56, '2005': 54, 'borrowed': 54, 'books-i-have': 53, 'دان-براون': 53, 'science': 53, '2006': 53, 'dnf': 52, '2012': 52, 'political': 51, 'book-club': 50, 'literature': 49, 'other': 49, 'mystery-thrillers': 48, '2009': 47, 'e-books': 45, 'my-bookshelf': 45, 'arctic': 44, '5-stars': 44, 'audio-books': 44, 'home': 44, 'action-thriller': 43, 'romance': 43}",630958,3.73,"{'5 Stars': 169017, '4 Stars': 213889, '3 Stars': 177124, '2 Stars': 53009, '1 Star': 17919}",10117
